time (min),bacterium area (pixels),bacterium area (µm^2)
251,939,2.539056
252,948,2.563392
253,956,2.5850239999999998
254,953,2.5769119999999996
255,968,2.617472
256,962,2.601248
257,976,2.6391039999999997
258,978,2.6445119999999998
259,984,2.660736
260,997,2.6958879999999996
261,998,2.6985919999999997
262,1006,2.720224
263,1010,2.7310399999999997
264,1016,2.747264
265,1023,2.7661919999999998
266,1029,2.782416
267,1027,2.777008
268,1053,2.8473119999999996
269,1054,2.8500159999999997
270,1065,2.8797599999999997
271,1070,2.89328
272,1074,2.904096
273,1086,2.9365439999999996
274,1071,2.895984
275,1090,2.9473599999999998
276,1099,2.9716959999999997
277,1106,2.990624
278,1115,3.01496
279,1123,3.0365919999999997
280,1132,3.0609279999999996
281,1131,3.0582239999999996
282,1143,3.0906719999999996
283,1156,3.1258239999999997
284,1158,3.131232
285,1171,3.166384
286,1165,3.1501599999999996
287,1187,3.2096479999999996
288,1186,3.2069439999999996
289,1192,3.223168
290,1195,3.23128
291,1224,3.3096959999999997
292,1223,3.3069919999999997
293,1236,3.342144
294,1250,3.38
295,1253,3.3881119999999996
296,1261,3.409744
297,1271,3.436784
298,1291,3.4908639999999997
299,1194,3.228576
300,669,1.808976
301,678,1.8333119999999998
302,681,1.841424
303,694,1.8765759999999998
304,691,1.868464
305,688,1.8603519999999998
306,700,1.8927999999999998
307,703,1.900912
308,708,1.914432
309,711,1.9225439999999998
310,720,1.94688
311,722,1.9522879999999998
312,724,1.9576959999999999
313,736,1.990144
314,731,1.976624
315,735,1.9874399999999999
316,745,2.01448
317,745,2.01448
318,754,2.0388159999999997
319,760,2.05504
320,768,2.076672
321,766,2.0712639999999998
322,776,2.0983039999999997
323,769,2.079376
324,779,2.106416
325,786,2.1253439999999997
326,785,2.1226399999999996
327,795,2.14968
328,807,2.1821279999999996
329,807,2.1821279999999996
330,823,2.225392
331,814,2.201056
332,823,2.225392
333,834,2.255136
334,829,2.241616
335,832,2.2497279999999997
336,841,2.2740639999999996
337,844,2.2821759999999998
338,855,2.3119199999999998
339,855,2.3119199999999998
340,869,2.349776
341,871,2.355184
342,880,2.37952
343,884,2.390336
344,880,2.37952
345,890,2.40656
346,903,2.441712
347,905,2.44712
348,917,2.479568
349,916,2.476864
350,924,2.498496
351,930,2.5147199999999996
352,931,2.5174239999999997
353,942,2.5471679999999997
354,944,2.5525759999999997
355,961,2.598544
356,960,2.59584
357,961,2.598544
358,982,2.655328
359,975,2.6363999999999996
360,985,2.66344
361,992,2.682368
362,996,2.693184
363,999,2.7012959999999997
364,1009,2.7283359999999997
365,1025,2.7716
366,1020,2.7580799999999996
367,1029,2.782416
368,1035,2.79864
369,1037,2.804048
370,1056,2.8554239999999997
371,1046,2.828384
372,1053,2.8473119999999996
373,1063,2.8743519999999996
374,1074,2.904096
375,1085,2.93384
376,1090,2.9473599999999998
377,1105,2.98792
378,1104,2.985216
379,1109,2.9987359999999996
380,1119,3.0257759999999996
381,1136,3.071744
382,1134,3.0663359999999997
383,1145,3.0960799999999997
384,1151,3.112304
385,1161,3.139344
386,1179,3.1880159999999997
387,1184,3.201536
388,1191,3.2204639999999998
389,1191,3.2204639999999998
390,1193,3.225872
391,1210,3.2718399999999996
392,1228,3.320512
393,1212,3.2772479999999997
394,1240,3.35296
395,1220,3.2988799999999996
396,730,1.97392
397,723,1.9549919999999998
398,731,1.976624
399,728,1.9685119999999998
400,734,1.9847359999999998
401,738,1.9955519999999998
402,744,2.011776
403,753,2.0361119999999997
404,749,2.025296
405,759,2.052336
406,770,2.08208
407,756,2.044224
408,765,2.0685599999999997
409,777,2.1010079999999998
410,781,2.111824
411,780,2.10912
412,785,2.1226399999999996
413,794,2.146976
414,803,2.171312
415,813,2.198352
416,813,2.198352
417,823,2.225392
418,823,2.225392
419,832,2.2497279999999997
420,834,2.255136
421,840,2.27136
422,844,2.2821759999999998
423,859,2.322736
424,861,2.328144
425,869,2.349776
426,870,2.35248
427,860,2.32544
428,875,2.3659999999999997
429,892,2.411968
430,885,2.3930399999999996
431,897,2.4254879999999996
432,901,2.436304
433,906,2.449824
434,907,2.452528
435,914,2.471456
436,927,2.506608
437,928,2.509312
438,930,2.5147199999999996
439,943,2.5498719999999997
440,944,2.5525759999999997
441,956,2.5850239999999998
442,954,2.5796159999999997
443,967,2.6147679999999998
444,975,2.6363999999999996
445,973,2.630992
446,974,2.6336959999999996
447,988,2.6715519999999997
448,988,2.6715519999999997
449,992,2.682368
450,1001,2.7067039999999998
451,1021,2.7607839999999997
452,1016,2.747264
453,1038,2.806752
454,1038,2.806752
455,1034,2.7959359999999998
456,1040,2.81216
457,1046,2.828384
458,1054,2.8500159999999997
459,1059,2.863536
460,1063,2.8743519999999996
461,1077,2.9122079999999997
462,1081,2.923024
463,1085,2.93384
464,1092,2.952768
465,1112,3.0068479999999997
466,1108,2.9960319999999996
467,1115,3.01496
468,1125,3.042
469,1128,3.050112
470,1134,3.0663359999999997
471,1145,3.0960799999999997
472,1159,3.133936
473,1150,3.1096
474,1161,3.139344
475,1174,3.174496
476,1175,3.1771999999999996
477,1192,3.223168
478,1184,3.201536
479,1203,3.252912
480,1211,3.2745439999999997
481,1202,3.2502079999999998
482,1219,3.2961759999999996
483,1226,3.315104
484,1241,3.355664
485,1259,3.404336
486,1284,3.471936
487,1284,3.471936
488,1301,3.5179039999999997
489,1294,3.498976
490,1302,3.5206079999999997
491,1319,3.5665759999999995
492,1314,3.5530559999999998
493,1321,3.5719839999999996
494,1321,3.5719839999999996
495,1341,3.626064
496,1349,3.647696
497,1356,3.6666239999999997
498,1371,3.707184
499,0,0.0
500,792,2.141568
501,799,2.1604959999999997
502,811,2.192944
503,804,2.174016
504,817,2.209168
505,827,2.236208
506,829,2.241616
507,841,2.2740639999999996
508,837,2.263248
509,848,2.292992
510,856,2.314624
511,853,2.3065119999999997
512,862,2.330848
513,871,2.355184
514,868,2.347072
515,876,2.3687039999999997
516,879,2.376816
517,885,2.3930399999999996
518,894,2.417376
519,885,2.3930399999999996
520,896,2.422784
521,913,2.468752
522,906,2.449824
523,922,2.4930879999999997
524,924,2.498496
525,933,2.5228319999999997
