time (min),bacterium area (pixels),bacterium area (µm^2)
0,1244,3.3637759999999997
1,1228,3.320512
2,727,1.9658079999999998
3,733,1.9820319999999998
4,737,1.992848
5,738,1.9955519999999998
6,748,2.022592
7,750,2.028
8,753,2.0361119999999997
9,759,2.052336
10,764,2.0658559999999997
11,778,2.103712
12,774,2.0928959999999996
13,782,2.114528
14,784,2.119936
15,786,2.1253439999999997
16,786,2.1253439999999997
17,791,2.138864
18,807,2.1821279999999996
19,811,2.192944
20,809,2.1875359999999997
21,817,2.209168
22,825,2.2308
23,823,2.225392
24,829,2.241616
25,832,2.2497279999999997
26,841,2.2740639999999996
27,1572,4.250687999999999
28,1566,4.234464
29,856,2.314624
30,866,2.3416639999999997
31,865,2.3389599999999997
32,872,2.357888
33,884,2.390336
34,885,2.3930399999999996
35,893,2.414672
36,893,2.414672
37,905,2.44712
38,908,2.4552319999999996
39,914,2.471456
40,917,2.479568
41,925,2.5012
42,937,2.533648
43,937,2.533648
44,935,2.52824
45,955,2.5823199999999997
46,954,2.5796159999999997
47,951,2.571504
48,968,2.617472
49,971,2.625584
50,972,2.628288
51,992,2.682368
52,992,2.682368
53,998,2.6985919999999997
54,1001,2.7067039999999998
55,1010,2.7310399999999997
56,1018,2.752672
57,1019,2.7553759999999996
58,1025,2.7716
59,1030,2.7851199999999996
60,1029,2.782416
61,1049,2.836496
62,1047,2.831088
63,1055,2.8527199999999997
64,1058,2.860832
65,1069,2.890576
66,1073,2.901392
67,1073,2.901392
68,1080,2.92032
69,1092,2.952768
70,1095,2.96088
71,1103,2.982512
72,1117,3.020368
73,1116,3.017664
74,1120,3.0284799999999996
75,1124,3.0392959999999998
76,1137,3.074448
77,1133,3.0636319999999997
78,1141,3.0852639999999996
79,1151,3.112304
80,1154,3.1204159999999996
81,1155,3.1231199999999997
82,1161,3.139344
83,1170,3.16368
84,1179,3.1880159999999997
85,1180,3.19072
86,1182,3.196128
87,1193,3.225872
88,1208,3.2664319999999996
89,1215,3.28536
90,1247,3.3718879999999998
91,1243,3.3610719999999996
92,1256,3.3962239999999997
93,1271,3.436784
94,1166,3.1528639999999997
95,1284,3.471936
96,1259,3.404336
97,1138,3.077152
98,1193,3.225872
